template,intent,production,usability,instances,creators,categories,median_om,median_views,example
how can i [...],PROVOKE,TALKING_HEAD,29.1,19,4,4,2.747228381,1220.0,HOW CAN I GLOW UP? be brutally honest 😂 GLOW UP SERIES PT. 3
when you are [...],RELATE,SKIT_OR_POV,29.0,5,5,5,5.506883605,21000.0,When you are Scorpio and your crush is Pisces
when you see [...],RELATE,SKIT_OR_POV,28.7,6,5,5,4.1526590025,7268.5,When you see someone from Yubo on the same location in map
this is why [...],PROVOKE,TEXT_ON_BROLL,28.4,5,3,3,5.704545455,150600.0,THIS IS WHY YOU NEED TO EXPRESS YOUR FEELINGS ! THIS IS WHY YOU NEED TO EXPRESS YOUR FEELINGS !
how did you [...],RELATE,SKIT_OR_POV,28.2,9,8,6,2.621093036,6428.0,How did you get the ombré edges?! Ombré Covers!
would you rather [...],PROVOKE,TEXT_ON_BROLL,27.9,6,5,4,4.090916451,3725.5,"Would You Rather 👍 Your partner’s bodycount is 10, but it’s all your friends 👎 Your partner’s bodycount is 250, but those are strangers"
pov you found the [...],RELATE,SCREEN_DEMO,27.9,7,6,5,3.5438353,7660.0,POV: You found the BEST Offline Notes App for Studying
what is a [...],PROVOKE,TEXT_ON_BROLL,27.8,5,5,3,5.106598985,18600.0,What is a lifetime ISA?
how to edit [...],TEACH,SCREEN_DEMO,27.5,6,5,2,3.977825684,15341.5,How to edit direct sunlight
when your boss [...],RELATE,SKIT_OR_POV,26.9,5,4,3,5.301932367,7273.0,When your boss starts loving another company's social media & you start to wonder if your days are numbered
what is your [...],PROVOKE,TEXT_ON_BROLL,26.7,7,7,5,3.117283951,17800.0,What is your definition of a red flag in a company? Why would you want to create some drama?!
pov you got [...],RELATE,SKIT_OR_POV,26.0,5,3,3,5.473938418,8105.0,POV: you got t-shirts for your wedding party that didn't blow your budget
can you believe [...],PROVOKE,TEXT_ON_BROLL,25.0,5,5,2,4.328467153,1367.0,Can you believe I used to edit my stories like this?
how to get the [...],TEACH,SCREEN_DEMO,24.9,5,4,4,4.62474645,9242.0,how to get the Sabrina Carpenter Polaroid Edit:
how would you [...],PROVOKE,TEXT_ON_BROLL,24.5,5,4,3,4.525593009,54600.0,How would you say in corporate talk?
when i see [...],RELATE,TALKING_HEAD,24.3,7,6,4,3.078668684,9804.0,When I see that my crush ✨FEELS✨ Has the same passions as me✨
how to become [...],TEACH,SCREEN_DEMO,22.3,6,5,5,3.3746298985000003,10529.5,"How to Become a Scrum Master? Courses, Certifications & More"
what do you think [...],PROVOKE,TEXT_ON_BROLL,22.0,7,7,6,2.307369682,8910.0,"What do you think, out of all your films,"
this is what [...],TEACH,TEXT_ON_BROLL,20.7,6,5,4,3.111131138,107400.0,This is what college looks like for this new generation 😂
how life feels [...],PROVOKE,TEXT_ON_BROLL,18.3,6,5,4,2.690017804,4860.5,How life feels when you're on the other side of the world
what i eat in a [...],PROVOKE,TALKING_HEAD,17.7,5,4,2,3.58933037,13000.0,What I eat in a day As a college student
when you show [...],RELATE,SKIT_OR_POV,16.9,6,3,2,3.0029895365,2009.0,When you show up to your apartment tour and they have one of these out front
come with us to [...],SELL,TEXT_ON_BROLL,12.3,5,5,5,2.427826087,11100.0,Come with us to re-stock our Lamb Chop Collection at PetSmart
if you were to ask [...],PROVOKE,TALKING_HEAD,11.9,5,5,5,2.330453564,2226.0,if you were to ask me about notability...
is somebody gonna match my [...],PROVOKE,TALKING_HEAD,10.7,5,5,4,1.846730975,2018.0,Is somebody gonna match my freak (figure out how to make healthy desserts out of rice cakes)
how can you [...],PROVOKE,TEXT_ON_BROLL,8.6,5,4,4,1.734156821,4671.0,How can you install a countdown widget on your iPhone? 😊
how i edit [...],PROVE,TALKING_HEAD,8.5,5,3,1,2.127913587,5465.0,How I edit my photos to have film/vintage look
when your teacher [...],RELATE,SKIT_OR_POV,7.7,5,3,2,1.842162162,2569.0,when your teacher asks you to sight-read
